,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
1028,s1750,Movie,Christmas Break-In,Michael Kampa,United States,11-01-2020,2019,TV-PG,87 min,"Children & Family Movies, Comedies"
1029,s1752,Movie,Elf Pets: A Fox Cub’s Christmas Tale,Chanda Bell,United States,11-01-2020,2020,TV-Y,28 min,Children & Family Movies
1030,s1753,Movie,Elf Pets: Santa’s Reindeer Rescue,Chanda Bell,United States,11-01-2020,2020,TV-Y,27 min,Children & Family Movies
1031,s1754,Movie,Elliot the Littlest Reindeer,Jennifer Westcott,Canada,11-01-2020,2018,PG,90 min,Children & Family Movies
1033,s1763,Movie,Mile 22,Peter Berg,United States,11-01-2020,2018,R,94 min,Action & Adventure
1034,s1764,Movie,Piercing,Nicolas Pesce,United States,11-01-2020,2018,R,81 min,"Dramas, Independent Movies, Thrillers"
1035,s1765,Movie,Snowden,Oliver Stone,United Kingdom,11-01-2020,2016,R,134 min,"Dramas, Thrillers"
1036,s1768,Movie,The Impossible,J.A. Bayona,Spain,11-01-2020,2012,PG-13,114 min,Dramas
1038,s1771,Movie,Wheels of Fortune,Shaun Paul Piccinino,United States,11-01-2020,2020,R,107 min,"Comedies, Sports Movies"
1039,s1772,TV Show,Afronta! Facing It!,Juliana Vicente,Brazil,10/31/2020,2017,TV-PG,1 Season,"Docuseries, International TV Shows"
1040,s1773,Movie,The 12th Man,Harald Zwart,Norway,10/31/2020,2018,TV-MA,130 min,"Action & Adventure, Dramas, International Movies"
1041,s1775,Movie,Hidden in Plain Sight,Stacia Crawford,United States,10/30/2020,2019,TV-14,87 min,"Dramas, Independent Movies, Thrillers"
1042,s1776,Movie,His House,Remi Weekes,United Kingdom,10/30/2020,2020,TV-14,93 min,"Horror Movies, Independent Movies"
1043,s1777,Movie,In Line,Tope Oshin,Nigeria,10/30/2020,2017,TV-14,114 min,"Dramas, International Movies"
1044,s1778,Movie,Kaali Khuhi,Terrie Samundra,India,10/30/2020,2020,TV-14,91 min,"Horror Movies, International Movies"
1045,s1781,Movie,Rogue City,Olivier Marchal,France,10/30/2020,2020,TV-MA,116 min,"Dramas, International Movies, Thrillers"
1046,s1784,Movie,The Day of the Lord,Santiago Alvarado Ilarri,Mexico,10/30/2020,2020,TV-MA,93 min,"Horror Movies, International Movies"
1047,s1785,Movie,Pagpag: Nine Lives,Frasco Mortiz,Philippines,10/29/2020,2013,TV-14,106 min,"Horror Movies, International Movies"
1048,s1786,Movie,Holidate,John Whitesell,United States,10/28/2020,2020,TV-MA,105 min,"Comedies, Romantic Movies"
1049,s1788,Movie,Metallica Through The Never,Nimród Antal,United States,10/28/2020,2013,R,93 min,Music & Musicals
1050,s1789,Movie,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,Poland,10/28/2020,2020,TV-MA,103 min,"Horror Movies, International Movies"
1051,s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,United States,10/28/2020,2020,TV-PG,114 min,Documentaries
1052,s1793,Movie,Guillermo Vilas: Settling the Score,Matías Gueilburt,Argentina,10/27/2020,2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies"
1053,s1794,Movie,Sarah Cooper: Everything's Fine,Natasha Lyonne,United States,10/27/2020,2020,TV-MA,50 min,Comedies
1054,s1795,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui",Taiwan,10/26/2020,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Mysteries"
1056,s1797,Movie,Black '47,Lance Daly,Ireland,10/24/2020,2018,R,100 min,"Action & Adventure, Dramas, Independent Movies"
1057,s1798,Movie,I Am Woman,Unjoo Moon,Australia,10/24/2020,2019,TV-MA,117 min,"Dramas, Music & Musicals"
1058,s1799,Movie,Alice Junior,Gil Baroni,Brazil,10/23/2020,2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies"
1059,s1801,TV Show,Move,"Thierry Demaizière, Alban Teurlai",United States,10/23/2020,2020,TV-MA,1 Season,"Docuseries, International TV Shows"
1060,s1802,Movie,Over the Moon,Glen Keane,China,10/23/2020,2020,PG,100 min,"Children & Family Movies, Music & Musicals"
1061,s1803,Movie,Shattered Memories,Chris Sivertson,United States,10/23/2020,2018,TV-14,86 min,"Dramas, Thrillers"
1062,s1806,Movie,Bending the Arc,"Kief Davidson, Pedro Kos",United States,10/22/2020,2017,TV-MA,102 min,Documentaries
1063,s1807,Movie,Cadaver,Jarand Herdal,Norway,10/22/2020,2020,TV-MA,87 min,"Horror Movies, International Movies"
1064,s1808,Movie,Exes Baggage,Dan Villegas,Philippines,10/22/2020,2018,TV-MA,103 min,"Dramas, International Movies, Romantic Movies"
1065,s1809,Movie,Fisherman's Friends,Chris Foggin,United Kingdom,10/22/2020,2019,PG-13,112 min,"Comedies, Dramas, Music & Musicals"
1066,s1810,Movie,The Hows of Us,Cathy Garcia-Molina,Philippines,10/22/2020,2018,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
1067,s1811,Movie,The Hummingbird Project,Kim Nguyen,Canada,10/22/2020,2018,R,111 min,"Dramas, Independent Movies"
1068,s1812,Movie,"Yes, God, Yes",Karen Maine,United States,10/22/2020,2020,R,78 min,"Comedies, Dramas, Independent Movies"
1069,s1813,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,Canada,10/21/2020,2020,TV-PG,51 min,"Documentaries, International Movies"
1070,s1815,Movie,Rebecca,Ben Wheatley,United Kingdom,10/21/2020,2020,PG-13,123 min,"Dramas, Romantic Movies, Thrillers"
1071,s1816,Movie,The Magic School Bus Rides Again The Frizz Connection,Richard Weston,Canada,10/20/2020,2020,TV-Y,46 min,Children & Family Movies
1072,s1817,Movie,Tremors: Shrieker Island,Don Michael Paul,United States,10/20/2020,2020,PG-13,102 min,"Action & Adventure, Horror Movies"
1075,s1820,Movie,Ghadi,Amin Dora,Lebanon,10/19/2020,2013,TV-MA,101 min,"Comedies, Dramas, International Movies"
1076,s1821,Movie,Heritages,Philippe Aractingi,Lebanon,10/19/2020,2014,TV-14,96 min,"Documentaries, International Movies"
1077,s1822,Movie,Listen,Philippe Aractingi,Lebanon,10/19/2020,2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies"
1079,s1824,Movie,Panoptic,Rana Eid,Lebanon,10/19/2020,2017,TV-MA,69 min,"Documentaries, International Movies"
1080,s1825,Movie,Taxi Ballad,Daniel Joseph,Lebanon,10/19/2020,2012,TV-MA,81 min,"Dramas, International Movies"
1085,s1831,Movie,What Did I Mess,Shady Hanna,Lebanon,10/19/2020,2018,TV-14,98 min,"Comedies, International Movies, Romantic Movies"
1088,s1834,Movie,ParaNorman,"Sam Fell, Chris Butler",United States,10/18/2020,2012,PG,93 min,"Children & Family Movies, Comedies"
1089,s1854,Movie,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",India,10/15/2020,2020,TV-PG,42 min,"Documentaries, International Movies"
1090,s1836,Movie,I Am Vengeance: Retaliation,Ross Boyask,United Kingdom,10/17/2020,2020,R,82 min,Action & Adventure
1091,s1837,Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones",Kenya,10/16/2020,2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
1092,s1839,Movie,In a Valley of Violence,Ti West,United States,10/16/2020,2016,R,104 min,Action & Adventure
1093,s1841,TV Show,Someone Has to Die,Manolo Caro,Mexico,10/16/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
1094,s1843,Movie,The Trial of the Chicago 7,Aaron Sorkin,United States,10/16/2020,2020,R,130 min,Dramas
1095,s1844,Movie,Unfriended,Levan Gabriadze,United States,10/16/2020,2014,R,83 min,"Horror Movies, Thrillers"
1096,s1845,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,10/15/2020,2020,TV-PG,99 min,Children & Family Movies
1097,s1846,Movie,Batman: The Killing Joke,Sam Liu,United States,10/15/2020,2016,R,77 min,Action & Adventure
1098,s1847,Movie,El-Khawaga's Dilemma,Peter Mimi,Egypt,10/15/2020,2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies"
1099,s1850,Movie,Kartini: Princess of Java,Hanung Bramantyo,Indonesia,10/15/2020,2017,TV-PG,118 min,"Dramas, International Movies"
1100,s1851,Movie,Love Like the Falling Rain,Lasja Fauzia Susatyo,Indonesia,10/15/2020,2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies"
1101,s1856,Movie,A Choo,"Kevin Ko, Peter Tsi",Taiwan,10/14/2020,2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies"
1102,s1857,Movie,BLACKPINK: Light Up the Sky,Caroline Suh,United States,10/14/2020,2020,TV-14,80 min,"Documentaries, Music & Musicals"
1103,s1858,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,Mexico,10/14/2020,2020,TV-MA,110 min,"Documentaries, International Movies"
1105,s1860,Movie,Octonauts & the Great Barrier Reef,Blair Simmons,United Kingdom,10/13/2020,2020,TV-Y,47 min,Children & Family Movies
1108,s1864,Movie,Hunterrr,Harshavardhan Kulkarni,India,10-12-2020,2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies"
1111,s1868,Movie,House of the Witch,Alex Merkin,United States,10-11-2020,2017,TV-MA,86 min,Horror Movies
1112,s1870,Movie,Ginny Weds Sunny,Puneet Khanna,India,10-09-2020,2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies"
1113,s1871,Movie,My Step Dad: The Hippie,Meltem Bozoflu,Turkey,10-09-2020,2018,TV-MA,100 min,"Comedies, International Movies"
1114,s1873,Movie,The Forty-Year-Old Version,Radha Blank,United States,10-09-2020,2020,R,124 min,"Comedies, Dramas, Independent Movies"
1115,s1875,Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",France,10-08-2020,2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
1117,s1880,Movie,Hubie Halloween,Steve Brill,United States,10-07-2020,2020,PG-13,104 min,"Comedies, Horror Movies"
1118,s1881,TV Show,To the Lake,Pavel Kostomarov,Russia,10-07-2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
1119,s1882,Movie,American Pie 9: Girls' Rules,Mike Elliott,United States,10-06-2020,2020,R,96 min,Comedies
1120,s1883,Movie,Dolly Parton: Here I Am,Francis Whately,United Kingdom,10-06-2020,2019,TV-14,90 min,"Documentaries, Music & Musicals"
1121,s1884,Movie,StarBeam: Halloween Hero,Jon Izen,Canada,10-06-2020,2020,TV-Y,33 min,Children & Family Movies
1122,s1885,Movie,Walk Away from Love,Christopher Nolen,United States,10-06-2020,2017,TV-14,81 min,"Dramas, Romantic Movies"
1123,s1887,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",United Kingdom,10-04-2020,2020,PG,84 min,Documentaries
1124,s1888,Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,Canada,10-03-2020,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies"
1125,s1889,Movie,Good Game: The Beginning,Umut Aral,Turkey,10-03-2020,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies"
1126,s1892,Movie,A Chaster Marriage,Umut Kirca,Turkey,10-02-2020,2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies"
1127,s1931,Movie,Poacher,Tom Whitworth,United Kingdom,9/30/2020,2018,TV-MA,28 min,"Dramas, International Movies, Thrillers"
1128,s1893,Movie,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",United States,10-02-2020,2020,TV-Y,22 min,Children & Family Movies
1129,s1897,Movie,Òlòtūré,Kenneth Gyang,Nigeria,10-02-2020,2020,TV-MA,107 min,"Dramas, International Movies"
1130,s1898,Movie,Serious Men,Sudhir Mishra,India,10-02-2020,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
1131,s1899,Movie,The Binding,Domenico de Feudis,Italy,10-02-2020,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers"
1132,s1900,Movie,Turkish Dance School,Burak Aksak,Turkey,10-02-2020,2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
1133,s1901,Movie,Vampires vs. the Bronx,Oz Rodriguez,United States,10-02-2020,2020,PG-13,86 min,"Comedies, Horror Movies"
1134,s1902,Movie,You've Got This,Salvador Espinosa,Mexico,10-02-2020,2020,TV-MA,112 min,"Comedies, International Movies, Romantic Movies"
1135,s1903,Movie,All Because of You,Adrian Teh,Malaysia,10-01-2020,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies"
1136,s1904,Movie,An Ordinary Man,Brad Silberling,Serbia,10-01-2020,2017,R,91 min,"Dramas, Thrillers"
1137,s1905,Movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya",United States,10-01-2020,2019,TV-14,83 min,"Documentaries, LGBTQ Movies"
1138,s1906,Movie,Cold Harbour,Carey McKenzie,South Africa,10-01-2020,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
1139,s1910,Movie,Free State of Jones,Gary Ross,United States,10-01-2020,2016,R,139 min,"Action & Adventure, Dramas"
1140,s1912,Movie,Human Nature,Adam Bolt,United States,10-01-2020,2019,TV-14,95 min,Documentaries
1141,s1913,Movie,Hunt for the Wilderpeople,Taika Waititi,New Zealand,10-01-2020,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas"
1142,s1914,Movie,I'm Leaving Now,"Lindsey Cordero, Armando Croda",United States,10-01-2020,2019,TV-MA,75 min,"Documentaries, International Movies"
1144,s1921,Movie,The Book of Sun,Faris Godus,Saudi Arabia,10-01-2020,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies"
1145,s1922,Movie,The Outpost,Rod Lurie,United States,10-01-2020,2020,R,123 min,"Action & Adventure, Dramas"
1146,s1925,Movie,We Have Always Lived in the Castle,Stacie Passon,United States,10-01-2020,2018,TV-14,95 min,"Dramas, Thrillers"
1147,s1927,Movie,American Murder: The Family Next Door,Jenny Popplewell,United States,9/30/2020,2020,TV-MA,84 min,Documentaries
1148,s1928,Movie,Baxu and the Giants,Florian Schott,Namibia,9/30/2020,2019,TV-PG,29 min,"Dramas, International Movies"
1149,s1932,Movie,The Boys in the Band,Joe Mantello,United States,9/30/2020,2020,R,122 min,"Dramas, LGBTQ Movies"
1150,s1935,Movie,Bully,Lee Hirsch,United States,9/29/2020,2012,PG-13,98 min,Documentaries
1151,s1936,Movie,Michelle Buteau: Welcome to Buteaupia,Page Hurwitz,United States,9/29/2020,2020,TV-MA,59 min,Stand-Up Comedy
1152,s1937,Movie,Welcome to Sudden Death,Dallas Jackson,United States,9/29/2020,2020,R,80 min,Action & Adventure
1154,s1939,Movie,Ankhon Dekhi,Rajat Kapoor,India,9/28/2020,2013,TV-PG,104 min,"Dramas, Independent Movies, International Movies"
1155,s1940,Movie,Dedh Ishqiya,Abhishek Chaubey,India,9/28/2020,2014,TV-14,146 min,"Comedies, Dramas, International Movies"
1163,s1951,Movie,Time Out,Rikhil Bahadur,India,9/26/2020,2015,TV-14,98 min,"Dramas, Independent Movies, International Movies"
1164,s1954,Movie,My Mother's Wound,Ozan Açıktan,Turkey,9/25/2020,2016,TV-MA,115 min,"Dramas, International Movies"
1165,s1969,Movie,High & Low The Worst,Shigeaki Kubo,Japan,9/20/2020,2019,TV-MA,125 min,"Action & Adventure, International Movies"
1166,s1958,Movie,Real Steel,Shawn Levy,United States,9/24/2020,2011,PG-13,127 min,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies"
1167,s1960,Movie,Enola Holmes,Harry Bradbeer,United Kingdom,9/23/2020,2020,PG-13,124 min,"Action & Adventure, Children & Family Movies, Dramas"
1168,s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",United States,9/22/2020,2020,TV-G,85 min,Documentaries
1169,s1963,Movie,A Love Song for Latasha,Sophia Nahli Allison,United States,9/21/2020,2020,TV-PG,20 min,Documentaries
1170,s1964,Movie,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,Japan,9/20/2020,2018,TV-PG,102 min,"Dramas, International Movies"
1171,s1965,Movie,High & Low The Movie,Shigeaki Kubo,Japan,9/20/2020,2016,TV-MA,129 min,"Action & Adventure, International Movies"
1172,s1966,Movie,High & Low The Movie 2 / End of Sky,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,9/20/2020,2017,TV-MA,124 min,"Action & Adventure, International Movies"
1173,s1967,Movie,High & Low The Movie 3 / Final Mission,"Shigeaki Kubo, Tsuyoshi Nakakuki",Japan,9/20/2020,2017,TV-MA,118 min,"Action & Adventure, International Movies"
1174,s1968,Movie,High & Low The Red Rain,Yudai Yamaguchi,Japan,9/20/2020,2016,TV-MA,111 min,"Action & Adventure, International Movies"
1175,s2026,Movie,PhotoCopy,Vijay Maurya,India,09-10-2020,2016,TV-14,138 min,"Comedies, Dramas, International Movies"
1176,s1970,Movie,Road To High & Low,Shigeaki Kubo,Japan,9/20/2020,2016,TV-MA,94 min,"Action & Adventure, International Movies"
1177,s1971,Movie,The Blue Elephant 2,Marwan Hamed,Egypt,9/20/2020,2019,TV-MA,130 min,"Horror Movies, International Movies, Thrillers"
1178,s1972,Movie,Bhaji In Problem,Smeep Kang,India,9/19/2020,2013,TV-14,117 min,"Comedies, International Movies"
1179,s1973,Movie,Black,Raja Chanda,India,9/19/2020,2015,TV-14,137 min,"Action & Adventure, International Movies"
1180,s1987,Movie,Nee Enge En Anbe,Sekhar Kammula,India,9/17/2020,2014,TV-14,137 min,"International Movies, Thrillers"
1181,s1975,Movie,Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,India,9/19/2020,2013,TV-MA,139 min,"Dramas, International Movies, Romantic Movies"
1182,s1976,Movie,Santa Banta Pvt Ltd,Akashdeep,India,9/19/2020,2016,TV-14,111 min,"Comedies, International Movies"
1183,s1977,Movie,The Royal Bengal Tiger,Rajesh Ganguly,India,9/19/2020,2014,TV-MA,103 min,"Dramas, International Movies, Thrillers"
1184,s1978,Movie,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,India,9/18/2020,2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies"
1185,s1982,Movie,Whipped,Chandra Liow,Indonesia,9/18/2020,2020,TV-14,98 min,"Comedies, International Movies, Romantic Movies"
1186,s1983,Movie,Anaamika,Sekhar Kammula,India,9/17/2020,2014,TV-14,130 min,"International Movies, Thrillers"
1187,s1985,Movie,GIMS: On the Record,Florent Bodin,France,9/17/2020,2020,TV-MA,96 min,"Documentaries, International Movies, Music & Musicals"
1188,s1986,Movie,Horrid Henry's Gross Day Out,Gary Andrews,United Kingdom,9/17/2020,2020,TV-Y,61 min,"Children & Family Movies, Comedies"
1189,s1988,Movie,Residue,Merawi Gerima,United States,9/17/2020,2020,TV-MA,90 min,"Dramas, Independent Movies"
1190,s1996,Movie,The Devil All The Time,Antonio Campos,United States,9/16/2020,2020,R,139 min,"Dramas, Thrillers"
1191,s1997,Movie,The Paramedic,Carles Torras,Spain,9/16/2020,2020,TV-MA,94 min,"Dramas, International Movies, Thrillers"
1192,s1998,Movie,The Take,James Watkins,United Kingdom,9/16/2020,2016,R,92 min,"Action & Adventure, International Movies"
1193,s1999,TV Show,Call the Midwife,Philippa Lowthorpe,United Kingdom,9/15/2020,2020,TV-MA,9 Seasons,"British TV Shows, International TV Shows, TV Dramas"
1194,s2000,Movie,Hope Frozen: A Quest to Live Twice,Pailin Wedel,Thailand,9/15/2020,2020,TV-PG,80 min,"Documentaries, International Movies"
1195,s2001,Movie,Michael McIntyre: Showman,Chris Howe,United Kingdom,9/15/2020,2020,TV-MA,63 min,Stand-Up Comedy
1197,s2004,Movie,The Smurfs 2,Raja Gosnell,United States,9/15/2020,2013,PG,105 min,"Children & Family Movies, Comedies"
1198,s2006,Movie,Lara and the Beat,Tosin Coker,Nigeria,9/14/2020,2018,TV-MA,140 min,"Dramas, International Movies, Music & Musicals"
1199,s2008,Movie,Dad Wanted,Javier Colinas,Mexico,09-11-2020,2020,TV-14,103 min,"Children & Family Movies, Comedies, Dramas"
1200,s2011,Movie,How to Train Your Dragon 2,Dean DeBlois,United States,09-11-2020,2014,PG,102 min,Children & Family Movies
1201,s2012,Movie,Pets United,Reinhard Klooss,Germany,09-11-2020,2020,TV-Y7,93 min,"Children & Family Movies, Comedies"
1202,s2016,Movie,Aapla Manus,Satish Rajwade,India,09-10-2020,2018,TV-14,133 min,"Dramas, International Movies, Thrillers"
1203,s2017,Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,India,09-10-2020,2018,TV-14,157 min,"Dramas, International Movies"
1204,s2018,Movie,Bhai: Vyakti Ki Valli - Poorvardha,Mahesh Manjrekar,India,09-10-2020,2019,TV-14,116 min,"Dramas, International Movies"
1205,s2019,Movie,Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,India,09-10-2020,2019,TV-PG,112 min,"Dramas, International Movies"
